//X Y Z Planarity_(0.155122) Surface_variation_(0.155122) Verticality_(0.155122)
-7.74779987 -16.27860069 17.79759979 0.713008 0.042698 0.144383
-7.06580019 -16.57180023 18.53610039 0.363279 0.093717 0.149794
-7.14510012 -16.41390038 17.06949997 0.273370 0.159975 0.913241
-10.02639961 -16.84670067 14.07979965 0.250842 0.225139 0.598125
-10.00769997 -16.95170021 14.08339977 0.363221 0.129474 0.687899
-6.76469994 -15.11690044 14.70189953 0.097575 0.238901 0.179073
-6.01370001 -16.21850014 16.90290070 0.118291 0.242737 0.915015
-9.50100040 -16.90159988 13.56089973 0.155811 0.249354 0.861337
-7.73180008 -16.85000038 15.26449966 0.367390 0.167390 0.357503
-6.53439999 -15.48040009 14.56620026 0.403895 0.173222 0.601697
-9.81410027 -17.07489967 12.77149963 0.607505 0.095888 0.604836
-8.01659966 -17.24270058 14.45969963 0.270112 0.208428 0.667841
-8.64949989 -16.84779930 12.68990040 0.138212 0.171788 0.964455
-7.41239977 -16.52449989 13.57050037 0.108749 0.075743 0.809069
-7.17140007 -16.36090088 12.14260006 0.565514 0.086585 0.963534
-6.00209999 -16.03709984 12.96529961 0.509665 0.095604 0.244653
-5.48470020 -17.83779907 15.59969997 0.685922 0.098915 0.927438
-7.94339991 -16.38780022 10.84930038 0.219017 0.107858 0.035476
-7.72440004 -17.38820076 11.87250042 0.421276 0.143502 0.350033
-7.21420002 -16.38439941 11.14239979 0.519614 0.081290 0.934246
-5.92689991 -16.48800087 11.92070007 0.260827 0.089583 0.685994
-4.75680017 -18.17810059 14.84720039 0.206248 0.257879 0.316227
-7.02279997 -16.44169998 9.96829987 0.410090 0.169375 0.809084
-5.50890017 -16.64130020 11.51049995 0.227596 0.175284 0.677711
-4.86660004 -16.30279922 11.75949955 0.513835 0.154623 0.618426
-7.12720013 -16.37479973 9.10859966 0.579567 0.093395 0.958530
-4.65129995 -16.32640076 11.52299976 0.384839 0.199532 0.505470
-6.30039978 -17.67810059 10.49839973 0.159473 0.208878 0.874772
-7.08830023 -17.74629974 9.24450016 0.096024 0.097612 0.918211
-7.07250023 -16.38640022 6.41720009 0.720391 0.064760 0.959675
-7.01090002 -16.38269997 4.72230005 0.490597 0.066510 0.970774
-7.10069990 -16.33600044 4.00050020 0.767357 0.065806 0.953644
-7.22499990 -16.34370041 3.30669999 0.512711 0.038186 0.977331
-8.76309967 -14.55399990 25.45919991 0.044519 0.017679 0.418859
-7.24720001 -16.18810081 23.43210030 0.200436 0.035050 0.968500
-7.65660000 -15.18210030 19.67289925 0.212792 0.204756 0.217022
