"point" "x" "y" "z"
"201" "-5.13180017" "-17.68519974" "15.98709965"
"202" "-5.48540020" "-15.54979992" "12.97249985"
"203" "-6.23869991" "-16.21570015" "12.96389961"
"204" "-5.24599981" "-17.45919991" "16.03219986"
"205" "-8.22239971" "-16.31889915" "10.85369968"
"206" "-8.24890041" "-17.49990082" "13.25139999"
"207" "-6.71220016" "-17.03960037" "15.03369999"
"208" "-7.91849995" "-15.84990025" "12.53960037"
"209" "-8.41689968" "-16.70450020" "13.26089954"
"210" "-5.19449997" "-17.40180016" "19.05690002"
"211" "-9.21459961" "-16.83699989" "12.99269962"
"212" "-6.08349991" "-16.36260033" "16.65489960"
"213" "-8.40060043" "-16.76849937" "14.43809986"
"214" "-9.04599953" "-16.94319916" "13.99100018"
"215" "-6.05810022" "-17.05389977" "18.49419975"
"216" "-6.90810013" "-15.06159973" "14.56439972"
"217" "-6.89979982" "-14.90499973" "14.49800014"
"218" "-6.37389994" "-16.97509956" "18.91950035"
"219" "-8.55469990" "-16.74690056" "15.87689972"
"220" "-9.12889957" "-16.81959915" "16.58790016"
"221" "-9.47700024" "-15.35929966" "14.11979961"
"222" "-6.12389994" "-15.64210033" "19.46010017"
"223" "-6.16149998" "-15.56420040" "19.47430038"
"224" "-7.69689989" "-16.38109970" "18.93549919"
"225" "-8.94079971" "-14.99769974" "15.81509972"
"226" "-7.02890015" "-16.27029991" "21.29509926"
"227" "-7.00579977" "-13.29179955" "16.53820038"
"228" "-9.30819988" "-16.40690041" "19.60689926"
"229" "-5.27950001" "-18.36140060" "14.75520039"
"230" "-5.30189991" "-18.24880028" "14.75500011"
"231" "-5.34310007" "-18.20229912" "14.80589962"
"232" "-4.84289980" "-18.40760040" "15.65320015"
"233" "-5.29640007" "-15.63930035" "12.58990002"
"234" "-6.11009979" "-16.19630051" "12.65289974"
"235" "-6.31449986" "-16.17510033" "12.94159985"
"236" "-6.72959995" "-16.00510025" "13.49720001"
"237" "-7.23000002" "-16.37809944" "14.28400040"
"238" "-6.65150023" "-17.28809929" "16.56719971"
"239" "-5.14599991" "-17.46190071" "19.29800034"
"240" "-7.37729979" "-16.30599976" "15.86050034"
"241" "-5.62750006" "-15.73099995" "17.48940086"
"242" "-7.23740005" "-18.19269943" "19.51819992"
"243" "-7.17110014" "-16.39830017" "17.06999969"
"244" "-8.63459969" "-16.78359985" "16.32719994"
"245" "-7.26749992" "-16.90600014" "19.04669952"
"246" "-7.86170006" "-16.73310089" "18.24169922"
"247" "-7.93540001" "-16.73690033" "18.35519981"
"248" "-8.42650032" "-15.37650013" "15.70930004"
"249" "-5.45769978" "-14.69789982" "18.36079979"
"250" "-6.62869978" "-16.01959991" "19.34720039"
"251" "-7.98979998" "-16.25180054" "18.26860046"
"252" "-8.53660011" "-15.08860016" "15.78890038"
"253" "-7.91540003" "-16.42119980" "19.89150047"
"254" "-9.85659981" "-15.31649971" "17.61770058"
"255" "-9.60190010" "-15.15139961" "-1.21920002"
"256" "-8.88640022" "-14.77369976" "-1.22520006"
"257" "-7.10430002" "-16.33079910" "1.91900003"
"258" "-7.05340004" "-16.28700066" "1.29209995"
"259" "-6.93889999" "-16.41099930" "0.64249998"
"260" "-9.72570038" "-15.75609970" "-1.35350001"
"261" "-6.98710012" "-16.34309959" "2.93199992"
"262" "-6.96649981" "-16.42440033" "1.61860001"
"263" "-9.20209980" "-16.39859962" "19.59180069"
"264" "-8.94470024" "-14.67529964" "15.87020016"
"265" "-8.53730011" "-16.41979980" "18.79330063"
"266" "-8.93550014" "-16.76399994" "16.65859985"
"267" "-7.94670010" "-16.59359932" "16.79929924"
"268" "-8.18480015" "-18.45050049" "19.36549950"
"269" "-8.55799961" "-15.61359978" "13.53629971"
"270" "-6.87150002" "-14.29220009" "13.48460007"
"271" "-9.40999985" "-17.00830078" "13.64099979"
"272" "-9.15250015" "-17.11249924" "13.43080044"
"273" "-7.16660023" "-16.39620018" "14.62549973"
"274" "-9.27320004" "-17.19739914" "12.48740005"
"275" "-8.02760029" "-16.85689926" "13.39640045"
"276" "-6.22450018" "-15.73760033" "13.37110043"
"277" "-5.63780022" "-17.50379944" "15.91170025"
"278" "-5.48740005" "-17.67840004" "15.82880020"
"279" "-8.05090046" "-16.63859940" "10.34169960"
"280" "-5.44469976" "-15.97539997" "12.65349960"
"281" "-5.05119991" "-17.99519920" "15.49650002"
"282" "-7.93690014" "-16.96559906" "10.30319977"
"283" "-6.06290007" "-16.48439980" "11.40820026"
